name_of_drug,use_case_for_drug,review_by_patient
Monistat 3-Day Combination Pack,Vaginal Yeast Infection,"""I read so many horrible reviews of this that I almost didn&#039;t try it. Fearing the excruciating pain described by such a majority of reviews, I tried natural remedies. I even tried the &quot;put a clove of garlic up your hooha&quot; method! None of the remedies worked.

This medication was a godsend. Please do not fear it. I experienced no pain with this, and it killed the infection dead within a day or two. I was amazed. Many people write about burning pain worse than childbirth, but I want to tell you that I experienced nothing like that. It was easy, painless, and, most importantly, extremely effective. Yeast infection is finallyour gone!"""
Venlafaxine,ibromyalgia,"""Been on this medicine for Fybromyalgia for 4 days and it has made a lot of difference already.  I am on the very low dose at the moment 37.5mg and am titrating up to 75mg after the first week. I feel sick in the morning before I eat (which I don&#039;t usually do until lunch time) but after a coffee this feeling subsides enough to manage.  I have tried about 6 other medicines over the past 12 months and the side effects of them all were intolerable.  However if I can take this medicine with the effect it has already had then I will be happy."""
Indomethacin,"Gout, Acute","""Wicked Apple was my poison( a fine ale!), after that in about 12 hours I began to hurt, and in 18 hours there was no relief in the pain.  I took my Colcrys (0.6) as prescribed, starting at 11pm, 12, and again at 2 am (about 15 hours after I had my one and only Wicked Apple)  20 hours later, it is all I can do to walk into the Dr&#039;s office still in terrible pain.  

The Dr gave me an injection of METHYLPRENISOLONE ACETATE (40mg) and prescribed Indomethacin.  By 22 hours I was feeling better, by 24 I was walking again, 26 hours I could stand in the shower.

It could have been the combination of the three drugs I have in my system, but 36 hours later, there is no pain and I only had one pill!  I still have swelling, but no pain!  Thank You!!"""
Etonogestrel,Birth Control,"""I have not gotten my period just like I haven&#039;t before which is why I decided to go on Nexplanon due to the pregnancy scares from not getting my period all the time. One thing that sucks about it is my sex drive, I don&#039;t get turned on easily and I&#039;m not  &quot;wet&quot; like I used to. I just got it about a month ago so hopefully nothing bad occurs besides that."""
Insulin isophane,Gestational Diabetes,"""I am terrified of needles and was very upset when I found out that I would have to give myself daily injections.  This pen is so easy to use.  I didn&#039;t even feel the needle.  I feel much better about the last ten weeks of my pregnancy."""
Armodafinil,Hypersomnia,"""I have anxiety/panic attacks and fibromyalgia. Fun! So, unfortunately I get sick with Lyrica at higher doses where it actually kills the fibromyalgia pain. After months of trial and errors, we&#039;ve finally found that 100mg of Pristiq, 20mg of Methadone, 225mg of Lyrica and 300mg of Tramadol is the only thing that will stop the pain. For the anxiety the Pristiq helps and also 3mg of Klonopin stops the panic (also took months of trial and error in addition to therapy). With this large amount of depressant style drugs, at times it was very hard for me to stay awake during the daytime. 150mg of Nuvigil for me has totally solved this problem. The first week I felt strange and over stimulated, and now I just feel normal and awake, from 6:00am to 10:30pm."""
Ethinyl estradiol / norethindrone,Birth Control,"""I would recommend this birth control to everyone. I have been taking it for almost two years. My periods are light and only last for a few days. My cramps are very tolerable. I don&#039;t feel unusually moody or irritable. My breasts did increase in size from a B32 to a D32. My skin is pretty clear, and I did not gain any weight. I would never switch to another birth control!"""
Gabapentin,ibromyalgia,"""Was diagnosed with Fibromyalgia at the start of the year having suffered with severe neck and upper back pain.  The deep pain especially in the upper back right in between the shoulder blades was unbearable most of the time.  I had the symptoms for over 2 years before the diagnosis and had almost 80 sessions of treatment with 11 different therapists. 

Anyway started taking duloxetine, gabapentin and Cocodamol in January.  Started gabapentin at 300 mg a day and built up to 1800mg a day by the end of March.  Over the last few weeks I feel that I am starting to get my life back.  Not totally pain free but I now have spells where the pain is bearable.  So if you have just started on this,  be patient and fingers crossed you will get relief."""
Levonorgestrel,Birth Control,"""I just got my second Mirena inserted today - I will seriously never do anything else.  I&#039;ve tried other methods (patch, NuvaRing, pill) and nothing compares to Mirena if you want longer-term birth control!

Yes, it is fairly painful upon insertion, but it lasts for only about 40 seconds max, but it is so worth it!  Both time I didn&#039;t have bleeding or cramping afterwards.  My first time I didn&#039;t even have spotting, my periods just completely stopped for all 5 years.  I am crossing my fingers for the same this time!  I never had weight gain and my skin was amazingly clear.  For those who are interested in low-maintenance, long-term birth control, I cannot recommend Mirena more!"""
Ambien,Insomnia,"""I began taking Ambien 15 years ago I stopped it while I was pregnant with my first child and then ended up going back on it from lack of sleep for so long. I took it again first time 6 1/2 years before becoming pregnant again and then had to stop it. When my youngest son was a year and a half old I started taking it again because I could not sleep longer than an hour.  When I first started taking Ambien I think the chemical compound was a different because back then I would eat in my sleep, cook meals in my sleep, but then after going off of it and going back on it I believe the formulation changed. I have not had any of those issues for over 13 years. Taking it on empty stomach makes a huge difference."""
Belviq,Weight Loss,"""Belviq simply killed my appetite, especially the urge I have to snack in the evening. I&#039;ve lost 14 lbs in almost 4 weeks and I&#039;m well on my way to lose 30 lbs. I sleep much better too. I don&#039;t know if that&#039;s from Belviq or less snacking in the evening but it is a fact."""
Levaquin,Pneumonia,"""This drug is GARBAGE and should be taken off the Market. I was hospitalized with pneumonia. The doctor prescribed it for me when I was released from the hospital. It has destroyed my appetite as well as my stomach. I can&#039;t sleep. I am nauseous every day. I have 2 more doses to take. I decided not to take them. I can&#039;t tolerate all the side effects."""
Suprep Bowel Prep Kit,Bowel Preparation,"""It tasted horrible. It did produce the expected outcome but I started vomiting and hour after each dose"""
Accutane,Acne,"""I&#039;ve had acne for about 8 years. Last year it suddenly deteriorated into severe nodular cystic acne. I started Accutane in September 2016, I&#039;m nearly finished my sixth month and I still have the same nodules and cysts that I had at beginning of the treatment, I&#039;m still breaking out the same as before. Accutane is effective for 96% of people whilst they&#039;re on it, so I&#039;m not bashing Accutane, it&#039;s an amazing drug for the majority of people. I&#039;m obviously an exception and I&#039;m devastated."""
Plan B,Emergency Contraception,"""I had unprotected intercourse twice within the range of the 72 hours. I asked a friend of mine who has used Plan B and the morning after I purchased Plan B for $41.80 (price is after taxes). Came home, took them, felt fine. No side effects. I was supposed to get my period 3 days later but I didn&#039;t. I got minor cramps here and there but nothing too severe. Now exactly a week after I took them I got my period (5 days late). This pill works but I never ever get severe period cramps. My period cramps this time are very severe and painful to the point where I can barely move. This has never happened to me before and I hope it lightens up in the next couple of days."""
Bupropion / naltrexone,Obesity,"""I have been on CONTRAVE now for 6 months I think.
Working but not as potent as in the beginning.
Exercising moderately as well.

It was covered by my insurance but no more. I have lost 31 lbs.
Still,I can&#039;t stay on this med forever.
Very expensive when paid out-of-pocket.
I will try it one more month and then get off it.
Side effects are still some dizziness and  intermittent nausea."""
Contrave,Obesity,"""I started march 18 slight headache but it sure did curb my appetite.I wasn&#039;t hungry but i sure thought n talked about food n soda how I want to indulge but didnt ,couldnt contrave wouldn&#039;t let me.Until this evening I was doing well I was on a no carb low fat until I ate a sandwich, feeling guilty. But you know  what I didnt binge I didn&#039;t even drink that ice cold pepsi I kind of feel good Maybe my body needed the sandwich .Its way less food I&#039;ve been eating I do recommend contrave. Week 2 soon I will keep you inform . I also had a gastric bypass and gained 40 lbs back. But now I&#039;m on my way to good health"""
Xyrem,Narcolepsy,"""When taken as prescribed medications works well for restful sleep."""
Cephalexin,Bacterial Infection,"""I use the Cephalexin to treat the absessed teeth i have.  I have used it before with UTI&#039;s.  I am allergice to PCN and my doctor perscribed the Cephalexin said that people that is allergic to the PCN can take the Cephalexin and it does the same job as PCN does."""
Depo-Provera,Birth Control,"""In the beginning I had bad headaches, vomiting &amp; non stop periods. Now after 12 months of this the only issue is weight gain. But having a small stomach I only gained 5 pounds. I have gained and lost (w/o exercising). I would say this is really effective but with side effects not so much. I went to see my doctor about my periods last time I went in she said if it doesn&#039;t stop after this cycle I should change birth controls. And is has she was right! If you think you will stop your periods so soon stop assuming and give depo a try! Its super effective and I&#039;ll definitely continue using it!"""
Relpax,Migraine,"""Relpax 40 mg is my go-to medication when I have a bad migraine.  I have tried almost all triptans, and this works best for me.  If taken ASAP, it typically zaps my migraine within 60-90 mins.

Relpax makes me feel spacey, &ldquo;floaty&rdquo; and tired so I usually take it and then lay down for a nap.  The side effects disappear within an hour or two.  This seems to be stronger than Imitrex (sumatriptan) or Maxalt (rizatriptan).  Not sure if it is actually stronger or just works better for me.  It is quite expensive, even with insurance."""
Skyla,Birth Control,"""I got the Skyla inserted a week ago and it was pretty rough. The actual process of getting it in did not bother me but after I had awful cramps, felt nauseous and lightheaded. The cramps have not gone away but have lightened a little bit. The doctor said I was feeling pain because I have a &quot;sensitive uterus&quot; and have never had kids. Haven&#039;t bled at all though which is nice."""
Glatiramer,Multiple Sclerosis,"""I was diagnosed July 2012.  Finally!  I could no longer walk, my legs had gotten so weak.  Was in a wheelchair already.  PPMS is not fun.  I have noticed that my legs are stronger, but still not able to walk.  And my MS has not gotten any worse.  Don&#039;t have and have never had &quot;flare ups&quot; but at the rate I was going downhill before Copaxone, this is great.  I don&#039;t like the shots, but I know they are worth it."""
Miconazole,Vaginal Yeast Infection,"""HORRIBLE
This product should be recalled
I&#039;ve used it before with no issues but this time around---- are the ingredients different ?? EXTREME BURNING AND ITCHING!!
I should have waited to see a doc and take a pill !!!!! It&#039;s almost 1 am and I can&#039;t sleep :((("""
Levonorgestrel,Emergency Contraception,"""I took Next Choice about 4 hours after having unprotected sex with my husband. I also followed another users advice and took Dramamine about an hour before I took the pill in order to combat any nausea. After taking the pill I only felt slight amount of nausea, but it sure did wipe me out. I took the pill on a Sunday and slept all the way until Monday evening. Some side effects that I got were: major bloating, abdominal cramping for more than a week, slight headache, extreme fatigue, very heavy menstrual flow 4 days after taking the pill, mood swings, extreme hunger, breast tenderness, swollen ankles.... but other than the many side effects experienced, I am satisfied with this medication for preventing an unwanted pregnancy."""
Desvenlafaxine,Anxiety,"""I have been on Pristiq for 11 days after switching from Paxil 12.5 CR.  I feel like I&#039;ve been on a roller coaster ride.  Agitation, shaky, anxiety and emotional. The nausea and headaches are gone now but I&#039;m thinking this is not the right medicine for me.  I will give it 14 days and if there is no improvement I will get off them. Not sure what I&#039;ll try next. The doctor thinks Wellbutrin. """
Trulicity,"Diabetes, Type 2","""Just took my 8th injection of .75 Trulicity today.  It has been amazing.  I always had trouble with my sugars and would get horrible welts from Levemir.  Doctor switched me from Levemir to Tresiba (62 units each morning) and the difference has been amazing.  I have GERD so all I can report is that it definitely has not been worse.  My sugars used to run around 230 to 323 most of the time.  Now they are from about 65 to 130.  If I&#039;m under 80, I don&#039;t take any short-acting, which is Novolog for me.  I&#039;ve lost about 7 pounds and my cravings are a thing of the past.  I am on SSDI and with prior-authorization from my endocrinologist, Medicare has authorized payment.  If it ever doesn&#039;t, Trulicity and I will part ways."""
Drixoral Cold and Allergy,Sinus Symptoms,"""Drixoral worked. Nothing in the drug store works like drixoral did.  I&#039;m tired of trying different brands to find what works because nothing does.  If there is such a demand for it to come back then bring it back in its original potency but have it be prescription only PLUS patients must have a documented chronic sinus condition"""
Adipex-P,Weight Loss,"""I started taking this medicine 03/08/10 at 215lbs..today is 04/14/10 and I am at 195lbs! Total loss of 20lbs in a little over a month.  I have been watching my calorie intake around  1000-1200 a day...and exercise at least 4-5 times a week (30-45 minutes each workout). During Easter I ate Easter dinner with the family and believe in having what I call my &quot;cheat day&quot; once a week.  I avoid fast food @ all cost excluding Subway and Wendy&#039;s where I can eat delicious low fat/low calorie food. One of my biggest weaknesses is sweet tea...I have switched from regular sugar to Splenda and I have adjusted well to the change. This medicine works, it helps me keep focused on my goal..30-40 more lbs to go!"""
Doxycycline,Acne,"""I took doxycycline for one month exactly and it honestly did my face wonders! My doctor had it combined with 3%/5% benzamycin top gel, but I managed to finish the gel in 2 weeks or less because my break outs were bad and that would make them go away by the next day. Now the doxycycline has helped A LOT with the break outs not appearing on my face. I&#039;m 20 years old and got the pills prescribed to be taken once a day every day for a month and now I haven&#039;t broken out since I started. I&#039;m a girl and whenever I got my period, I would break out pretty badly, but this medication has helped A LOT with that. I will ask for a refill on both medications. Highly recommend to give them both a try."""
Victoza,"Diabetes, Type 2","""My doctor suggested victoza. The biggest side effects are constipation and upset stomach.  I burp and have gas a lot. My appetite is gone and I can&#039;t eat as much. I fill up quickly. I have only lost a few pounds but I am only 17 pounds overweight. I will stick with it. My fasting sugar numbers have been between 100 and 115. I will stick with it."""
Duloxetine,Depression,"""I am 20 years old. I was struggling with anxiety and depression for several years. Both peaked my junior year of college and I found it too much to bear. I went to my family doctor and he prescribed me 30 mg duloxetine. It changed my life in the most positive way. Before I started taking it, I would wake up every morning nauseous from anxiety. I was never at ease, I had the worst self confidence and thoughts of suicide. I was dreading my future. Now, my quality of life has greatly improved. I get excited when I think of what my life will bring. I wake up, and I live life. Things aren&#039;t perfect but compared to where I was 6 months ago, they are incredible. I don&#039;t know if it&#039;s for everyone, but it worked for me and I am so grateful."""
Plan B,Emergency Contraception,"""I had unprotected sex August 29 which was a Monday and after we finished he told me that he came inside me, and let me tell y&#039;all I was fertile and i ovulated on Wednesday!! Well I started freaking out and took the pill 40 min after. Tuesday morning I did feel some of the side effects but nothing too major!! Your period is either going to be early or late but i wasn&#039;t supposed to get my period until 2 weeks from the day I had sex. Fortunately I got it early six days later so it does work!! Also they say that if you weigh more then 160 or so it won&#039;t be as effective and well I&#039;m a pretty curvy girl I weigh 250 and it worked on me so Don&#039;t believe that stupid theory!!! Hope it was helpful!!"""
Rizatriptan,Migraine,"""Fantastic drug!  Works every time within half an hour.  Feel a little strange for around 30 minutes after taking it, but no other side effects.  Highly recommend it as it&#039;s the only thing that works for my migraines"""
Lexapro,Depression,"""I have been on Lexapro for a little over a month now. I immediately saw a change in my engery level. I got the motivation to get out of bed and be active again. My temper has subsided a lot. I used to cry a lot and I have not cried in weeks. I actually stop and think prior to showing anger. It has helped so much. I have not seen any fluctuation in weight. I have been sleeping more soundly. This is the first medication I have been put on for this medication and it seems to be working great."""
Desvenlafaxine,Depression,"""I&#039;m 20 years old and just started Pristiq 4 days ago. First time on antidepressants and I noticed a change immediately! I can actually enjoy my days and not cry excessively or get as many anxiety attacks. The only side effects I have are nausea and loss of appetite. But I highly recommend it!"""
Pramoxine,Hemorrhoids,"""I&#039;m in my early 30&#039;s and I have been suffering from hemorrhoids for 3 years now.  I have had multiple flares with a few visits to the ER. I have used few hemorrhoid medications and nothing has helped as much as Proctofoam. I feel the pressure go down, itchiness and size of the veins shrink within minutes. I highly recommend it. Thumbs up."""
Phentermine / topiramate,Weight Loss,"""I started about 6 weeks ago. I have list 13lbs so far. No side effects.  I will keep at as long as its working."""
Bactrim,Acne,"""I&#039;m a teen with pretty bad acne. Within two weeks my skin had cleared up tremendously. Unfortunately, then I started getting red hives all over my body due to a allergic reaction."""
Paxil,Anxiety and Stress,"""This med works great I had a lot of anxiety and hard time dealing with work, kids and my wife. I am totally in control now and can deal with a lot more issues at once...great results"""
Lorazepam,Anxiety,"""Please, as a human being to others, DO NOT ABRUPTLY STOP TAKING THIS MEDICATION! Only after one month on this medication, I quit it and went through living HELL on earth! This is a very serious medication. God Bless."""
Lamotrigine,Depression,"""Wow what a difference. I&#039;ve tried 4 SSRIs, 1 SNRI, Wellbutrin (Made me irritable and couldn&#039;t sleep), Viibryd, different ADHD stimulants, and the list goes on.

Currently, I&#039;m on sertraline (Zoloft generic) 100mg and it was working out okay, but still struggled with my temper and depression. After 5 weeks, I&#039;m finally on lamotrigine (Lamictal generic) IR 100mg once a day. It took 3 days after I started the 100mg to notice a big difference in my behavior. Side effects you might notice while starting it are Dizziness (minor), slight sedation or tiredness, and depression. My depression is now gone. I believe it was my brain adjusting to this miracle of a medication."""
Alprazolam,Tinnitus,"""I have moderately severe sensorineural hearing loss. Xanax alleviated my tinnitus a great deal for a couple years. After that, I reached tolerance to Xanax and it was no longer effective. What&#039;s more, unless I increased the dose, the tinnitus was louder than ever. Because of tolerance, I was having withdrawal symptoms between doses. Since tapering off and discontinuing Xanax, I have been out of my mind with anxiety and loud hissing tinnitus. These will subside as my brain recovers from the damage the drug has caused. Please educate yourselves about benzodiazepines. Don&#039;t rely on your doctor because most of them are recklessly uneducated about the dangers of benzos.  0.5 mg. of Xanax is not a low dose; it is roughly equal to 10mg of Valium."""
Ethinyl estradiol / levonorgestrel,Birth Control,"""Although I only started this medication recently, I wanted to share my experience. I finally made the decision to start the pill because my last period was over two weeks late. After ruling out pregnancy, I discovered that I have a genetic history of ovarian cysts, which are lessened in frequency by birth control. I have also suffered from moderately severe periods, with cramps that made it impossible to go to work or school. I have just completed my first week of Aviane. I have had no nausea and perhaps a slight change in appetite where I eat a little more. What surprised me is that my breasts have grown about a third of a cup size. (This is a pleasant surprise for me, as I am a medium B-cup)."""
Bupropion / naltrexone,Obesity,"""This is my 4th week with full doses 2 in the morning and 2 in the evening. I am very honest in this feedback, my first week I took I don&#039;t have any side effect but when I get to my 3rd day, I experience migraine headache, which only last me half of that day and I feel fine. The most effective I&#039;ve noticed is that I don&#039;t even want to drink no more, (liquor,wine,beer etc) that was on week one.  I used to drink here and there when I am at home but now I am completely off from alcohol.
Now that this is my 4th complete week of full dose, yesterday 2/17/17 ( I&#039;ve experience nausea after I had my coffee then I threw up , just feeling sick and weak. Today I feel the same but not the nausea kind only little restless.  It&#039;s my 4th week I quit coffee"""
Lamisil,Tinea Capitis,"""I&#039;ve been taking the Terbinafine 250mg tab once daily for just over a month now and haven&#039;t had any noticeable side effects.  My toenails have cleared up considerably and I still have 60 more days of treatment.  I think if you take this medication as directed, with a full glass of water and do not drink alcohol excessively, you&#039;ll probably stand a better chance of complete success.  This is the first treatment I have tried since they took the Lamisil Cream off the market that has worked."""
Metronidazole,Diverticulitis,"""All I know is that 2 days into this course of treatment with flagyl and cipro, my horrible left lower quadrant pain is gone. I do feel a little down and lethargic but who cares? I&#039;m able to get some things done and get through a day at work. I do have a little headache and another medicine Amitiza seems to give me congestion in my head but it helped relax the colon spasms. I am so grateful though because I was in horrible pain for so long and didn&#039;t know why."""
Vardenafil,Erectile Dysfunction,"""Solid erection and great sex, but didn&#039;t get erection for hours afterwards (unlike Viagra). Side effects the next day were - tummy upset and headache/nausea. I guess I have to be careful - I had a few drinks beforehand (will need to cut that out). I also suffer from low blood pressure."""
Tramadol,Back Pain,"""I&#039;m only 26 years old and have been suffering from chronic back pain for 6 years (due to a fall). I haven&#039;t gotten much help from all the doctors I&#039;ve had. They all treated me like an addict because I&#039;m so young. Anyway my new doctor has given 50mg of Ultram but only 15 day supply. I wish I could have it everyday but the risk of addiction is not worth it. I&#039;m am super grateful I get 15 days of relief a month. It has helped me be my happy go lucky self. I recommend it."""
Magnesium sulfate / potassium sulfate / sodium sulfate,Bowel Preparation,"""First time using this prep and it does work much better than others. It is the most disgusting, fowl tasting thing I&#039;ve ever had. If I have to use it again I may try some of the tips I&#039;ve seen here like the lemons.  After getting 1st dose down it took about 45 mins to start.  The second dose was the hardest to get down.  I guess because I knew how bad it was going to be.  Almost didn&#039;t keep it down.  Drinking this and the 32 oz of water in an hour makes you bloated for sure.  I did get a headache but that may have come from being dehydrated which I was by the time I got to my appointment."""
Epiduo,Acne,"""I have used epiduo for about 2 years, maybe going on three. or about 2 months after beginning the use of this product my skin was really breaking out terribly (because it is a retnoid: it brings everything to the surface making your skin break out a lot, but is good in the long run). Then around week 10 my skin cleared up and was actually looking pretty good. However, this past summer, my skin broke out terribly like it had the first time i used it, and has not exactly cleared up since. I still have breakouts (although not as bad) on my cheekbones, forehead, and chin."""
Copper,Birth Control,"""In the past I have had serious problems when it comes to hormones after being on the pill for 3 months I developed anxiety and panic attacks, this was unusual considering I&#039;m a public speaker and have had no problems with standing in front of a crowd. I had the copper coil inserted in March and I have read that the procedure should only take 2 mins really... I was unlucky by having a trainee nurse who took 4 attempts and who had actually left the job half done. I spent 4 hours in A&amp;E last night trying to figure out why I was in so much agony. And as you do, I tried to to see if I could feel anything unusual... Surprise surprise the coil had dropped down and the wire was I fact 3cm away from the entrance of my vagina!"""
Hyaluronan,Osteoarthritis,"""Had my first injection today. No big deal at all. After reading all kinds of reviews I was anticipating a rough experience. In and out of the office in  20 minutes then off to work."""
Etonogestrel,Birth Control,"""I got this birth control inserted in April 2010 as I was in a long term relationship and taking the oral pill but was very forgetful in taking it. Implanon was recommended by a friend who I trusted very much so I did no research and took her word for it!! I have to say I have never looked back since. After reading the side effects I can honestly say I&#039;ve never had any! I get the usual monthly trouble i.e. headaches and cramps but nothing compared to what I would be use to. I do get my period every month like clock work to the day to the hour which I find very reassuring. I also have a very healthy sex life with my partner and have had not experienced weight gain in fact I have lost 3 stone on a healthy diet since it was put in."""
Bupropion / naltrexone,Obesity,"""My experience has been a good one. I am on week two and I have lost 10 pounds. It has taken away all my cravings and I dont eat in between meals anymore. I have not had any of the side effects they talk about except for an ever so slight headache at times. I contributed that to caffeine withdrawal.  I have also stuck to eating healthy and cut out alcohol. This has definitely been a good change for me."""
Leuprolide,Endometriosis,"""I did a 6 month treatment of Lupron and It wasn&#039;t that bad. The first couple of months I experienced migraines &amp; hot flashes. For the reminder or the treatment, I continued to experience the hot flases but my mood swings became very uncomfortable for my family, friends, &amp; me. I would one minute be calm &amp; neutral...the next minute I would become mean &amp; hateful. That was never how I was prior to the treatment. However, I completed my treatment in August 2009 and I haven&#039;t had any problems with my endometriosis at all. My doctor has now given me the option to either get pregnant or continue with birth control pills until I decide to become pregnant to maintain the endometriosis. I highly recommend this method if you can withstand the side effects."""
Amphetamine / dextroamphetamine,ADHD,"""I liked how focused it made me however if I was agitated it made it worse"""
